date,event,group,value
2011-09-01,battle,IC,0
2011-09-01,barral_bomb,IC,0
2011-09-01,shelling,IC,0
2011-09-01,chemical,IC,0
2011-09-01,massacre,RS,0
2011-09-01,air_strike,RS,0
2011-09-01,battle,RS,0
2011-09-01,barral_bomb,RS,0
2011-09-01,shelling,RS,0
2011-09-01,chemical,RS,0
2011-09-01,massacre,YPG,0
2011-09-01,air_strike,YPG,0
2011-09-01,battle,YPG,0
2011-09-01,barral_bomb,YPG,0
2011-09-01,shelling,YPG,0
2011-09-01,chemical,YPG,0
2011-09-01,massacre,HZB,0
2011-09-01,air_strike,HZB,0
2011-09-01,battle,HZB,0
2011-09-01,barral_bomb,HZB,0
2011-09-01,shelling,HZB,0
2011-09-01,chemical,HZB,0
2011-09-01,massacre,ASS,2
2011-09-01,air_strike,ASS,0
2011-09-01,battle,ASS,0
2011-09-01,barral_bomb,ASS,0
2011-09-01,shelling,ASS,0
2011-09-01,chemical,ASS,0
2011-10-01,massacre,IS,0
2011-10-01,air_strike,IS,0
2011-10-01,battle,IS,0
2011-10-01,barral_bomb,IS,0
2011-10-01,shelling,IS,0
2011-10-01,chemical,IS,0
2011-10-01,massacre,IC,0
2011-10-01,air_strike,IC,0
2011-10-01,battle,IC,0
2011-10-01,barral_bomb,IC,0
2011-10-01,shelling,IC,0
2011-10-01,chemical,IC,0
2011-10-01,massacre,RS,0
2011-10-01,air_strike,RS,0
2011-10-01,battle,RS,0
2011-10-01,barral_bomb,RS,0
2011-10-01,shelling,RS,0
2011-10-01,chemical,RS,0
2011-10-01,massacre,YPG,0
2011-10-01,air_strike,YPG,0
2011-10-01,battle,YPG,0
2011-10-01,barral_bomb,YPG,0
2011-10-01,shelling,YPG,0
2011-10-01,chemical,YPG,0
2011-10-01,massacre,HZB,0
2011-10-01,air_strike,HZB,0
2011-10-01,battle,HZB,0
2011-10-01,barral_bomb,HZB,0
2011-10-01,shelling,HZB,0
2011-10-01,chemical,HZB,0
2011-10-01,massacre,ASS,3
2011-10-01,air_strike,ASS,0
2011-10-01,battle,ASS,0
2011-10-01,barral_bomb,ASS,1
2011-10-01,shelling,ASS,0
2011-10-01,chemical,ASS,0
2011-11-01,massacre,IS,0
2011-11-01,air_strike,IS,0
2011-11-01,battle,IS,0
2011-11-01,barral_bomb,IS,0
2011-11-01,shelling,IS,0
2011-11-01,chemical,IS,0
2011-11-01,massacre,IC,0
2011-11-01,air_strike,IC,0
2011-11-01,battle,IC,0
2011-11-01,barral_bomb,IC,0
2011-11-01,shelling,IC,0
2011-11-01,chemical,IC,0
2011-11-01,massacre,RS,0
2011-11-01,air_strike,RS,0
2011-11-01,battle,RS,0
2011-11-01,barral_bomb,RS,0
2011-11-01,shelling,RS,0
2011-11-01,chemical,RS,0
2011-11-01,massacre,YPG,0
2011-11-01,air_strike,YPG,0
2011-11-01,battle,YPG,0
2011-11-01,barral_bomb,YPG,0
2011-11-01,shelling,YPG,0
2011-11-01,chemical,YPG,0
2011-11-01,massacre,HZB,0
2011-11-01,air_strike,HZB,0
2011-11-01,battle,HZB,0
2011-11-01,barral_bomb,HZB,0
2011-11-01,shelling,HZB,0
2011-11-01,chemical,HZB,0
2011-11-01,massacre,ASS,2
2011-11-01,air_strike,ASS,0
2011-11-01,battle,ASS,0
2011-11-01,barral_bomb,ASS,0
2011-11-01,shelling,ASS,1
2011-11-01,chemical,ASS,0
2011-12-01,massacre,IS,0
2011-12-01,air_strike,IS,0
2011-12-01,battle,IS,0
2011-12-01,barral_bomb,IS,0
2011-12-01,shelling,IS,0
2011-12-01,chemical,IS,0
2011-12-01,massacre,IC,0
2011-12-01,air_strike,IC,0
2011-12-01,battle,IC,0
2011-12-01,barral_bomb,IC,0
2011-12-01,shelling,IC,0
2011-12-01,chemical,IC,0
2011-12-01,massacre,RS,0
2011-12-01,air_strike,RS,0
2011-12-01,battle,RS,0
2011-12-01,barral_bomb,RS,0
2011-12-01,shelling,RS,0
2011-12-01,chemical,RS,0
2011-12-01,massacre,YPG,0
2011-12-01,air_strike,YPG,0
2011-12-01,battle,YPG,0
2011-12-01,barral_bomb,YPG,0
2011-12-01,shelling,YPG,0
2011-12-01,chemical,YPG,0
2011-12-01,massacre,HZB,0
2011-12-01,air_strike,HZB,0
2011-12-01,battle,HZB,0
2011-12-01,barral_bomb,HZB,0
2011-12-01,shelling,HZB,0
2011-12-01,chemical,HZB,0
2011-12-01,massacre,ASS,2
2011-12-01,air_strike,ASS,1
2011-12-01,battle,ASS,0
2011-12-01,barral_bomb,ASS,1
2011-12-01,shelling,ASS,0
2011-12-01,chemical,ASS,0
2012-01-01,massacre,IS,0
2012-01-01,air_strike,IS,0
2012-01-01,battle,IS,0
2012-01-01,barral_bomb,IS,0
2012-01-01,shelling,IS,0
2012-01-01,chemical,IS,0
2012-01-01,massacre,IC,0
2012-01-01,air_strike,IC,0
2012-01-01,battle,IC,0
2012-01-01,barral_bomb,IC,0
2012-01-01,shelling,IC,0
2012-01-01,chemical,IC,0
2012-01-01,massacre,RS,0
2012-01-01,air_strike,RS,0
2012-01-01,battle,RS,0
2012-01-01,barral_bomb,RS,0
2012-01-01,shelling,RS,0
2012-01-01,chemical,RS,0
2012-01-01,massacre,YPG,0
2012-01-01,air_strike,YPG,0
2012-01-01,battle,YPG,0
2012-01-01,barral_bomb,YPG,0
2012-01-01,shelling,YPG,0
2012-01-01,chemical,YPG,0
2012-01-01,massacre,HZB,0
2012-01-01,air_strike,HZB,0
2012-01-01,battle,HZB,0
2012-01-01,barral_bomb,HZB,0
2012-01-01,shelling,HZB,0
2012-01-01,chemical,HZB,0
2012-01-01,massacre,ASS,12
2012-01-01,air_strike,ASS,1
2012-01-01,battle,ASS,0
2012-01-01,barral_bomb,ASS,0
2012-01-01,shelling,ASS,4
2012-01-01,chemical,ASS,0
2012-02-01,massacre,IS,0
2012-02-01,air_strike,IS,0
2012-02-01,battle,IS,0
2012-02-01,barral_bomb,IS,0
2012-02-01,shelling,IS,0
2012-02-01,chemical,IS,0
2012-02-01,massacre,IC,0
2012-02-01,air_strike,IC,0
2012-02-01,battle,IC,0
2012-02-01,barral_bomb,IC,0
2012-02-01,shelling,IC,0
2012-02-01,chemical,IC,0
2012-02-01,massacre,RS,10
2012-02-01,air_strike,RS,1
2012-02-01,battle,RS,0
2012-02-01,barral_bomb,RS,0
2012-02-01,shelling,RS,1
2012-02-01,chemical,RS,0
2012-02-01,massacre,YPG,0
2012-02-01,air_strike,YPG,0
2012-02-01,battle,YPG,0
