date,event,group,value
2011-06-01,agreement,RS,0
2011-06-01,barrel_bomb,RS,0
2011-06-01,massacre,RS,0
2011-06-01,intervention,RS,0
2011-06-01,shelling,RS,0
2011-06-01,battle,RS,0
2011-06-01,chemical,HZB,0
2011-06-01,air_strike,HZB,0
2011-06-01,agreement,HZB,0
2011-06-01,barrel_bomb,HZB,0
2011-06-01,massacre,HZB,0
2011-06-01,intervention,HZB,0
2011-06-01,shelling,HZB,0
2011-06-01,battle,HZB,0
2011-06-01,chemical,ANF,0
2011-06-01,air_strike,ANF,0
2011-06-01,agreement,ANF,0
2011-06-01,barrel_bomb,ANF,0
2011-06-01,massacre,ANF,0
2011-06-01,intervention,ANF,0
2011-06-01,shelling,ANF,0
2011-06-01,battle,ANF,0
2011-06-01,chemical,IR,0
2011-06-01,air_strike,IR,0
2011-06-01,agreement,IR,0
2011-06-01,barrel_bomb,IR,0
2011-06-01,massacre,IR,0
2011-06-01,intervention,IR,0
2011-06-01,shelling,IR,0
2011-06-01,battle,IR,0
2011-06-01,chemical,ASS,0
2011-06-01,air_strike,ASS,0
2011-06-01,agreement,ASS,0
2011-06-01,barrel_bomb,ASS,0
2011-06-01,massacre,ASS,0
2011-06-01,intervention,ASS,0
2011-06-01,shelling,ASS,0
2011-06-01,battle,ASS,0
2011-06-01,chemical,FSA,0
2011-06-01,air_strike,FSA,0
2011-06-01,agreement,FSA,0
2011-06-01,barrel_bomb,FSA,0
2011-06-01,massacre,FSA,0
2011-06-01,intervention,FSA,0
2011-06-01,shelling,FSA,0
2011-06-01,battle,FSA,0
2011-06-01,chemical,IC,0
2011-06-01,air_strike,IC,0
2011-06-01,agreement,IC,0
2011-06-01,barrel_bomb,IC,0
2011-06-01,massacre,IC,0
2011-06-01,intervention,IC,0
2011-06-01,shelling,IC,0
2011-06-01,battle,IC,0
2011-06-01,chemical,YPG,0
2011-06-01,air_strike,YPG,0
2011-06-01,agreement,YPG,0
2011-06-01,barrel_bomb,YPG,0
2011-06-01,massacre,YPG,0
2011-06-01,intervention,YPG,0
2011-06-01,shelling,YPG,0
2011-06-01,battle,YPG,0
2011-07-01,chemical,IS,0
2011-07-01,air_strike,IS,0
2011-07-01,agreement,IS,0
2011-07-01,barrel_bomb,IS,0
2011-07-01,massacre,IS,0
2011-07-01,intervention,IS,0
2011-07-01,shelling,IS,0
2011-07-01,battle,IS,0
2011-07-01,chemical,UN,0
2011-07-01,air_strike,UN,0
2011-07-01,agreement,UN,0
2011-07-01,barrel_bomb,UN,0
2011-07-01,massacre,UN,0
2011-07-01,intervention,UN,0
2011-07-01,shelling,UN,0
2011-07-01,battle,UN,0
2011-07-01,chemical,US,0
2011-07-01,air_strike,US,0
2011-07-01,agreement,US,0
2011-07-01,barrel_bomb,US,0
2011-07-01,massacre,US,0
2011-07-01,intervention,US,0
2011-07-01,shelling,US,0
2011-07-01,battle,US,0
2011-07-01,chemical,RS,0
2011-07-01,air_strike,RS,0
2011-07-01,agreement,RS,0
2011-07-01,barrel_bomb,RS,0
2011-07-01,massacre,RS,0
2011-07-01,intervention,RS,0
2011-07-01,shelling,RS,0
2011-07-01,battle,RS,0
2011-07-01,chemical,HZB,0
2011-07-01,air_strike,HZB,0
2011-07-01,agreement,HZB,0
2011-07-01,barrel_bomb,HZB,0
2011-07-01,massacre,HZB,0
2011-07-01,intervention,HZB,0
2011-07-01,shelling,HZB,0
2011-07-01,battle,HZB,0
2011-07-01,chemical,ANF,0
2011-07-01,air_strike,ANF,0
2011-07-01,agreement,ANF,0
2011-07-01,barrel_bomb,ANF,0
2011-07-01,massacre,ANF,0
2011-07-01,intervention,ANF,0
2011-07-01,shelling,ANF,0
2011-07-01,battle,ANF,0
2011-07-01,chemical,IR,0
2011-07-01,air_strike,IR,0
2011-07-01,agreement,IR,0
2011-07-01,barrel_bomb,IR,0
2011-07-01,massacre,IR,0
2011-07-01,intervention,IR,0
2011-07-01,shelling,IR,0
2011-07-01,battle,IR,0
2011-07-01,chemical,ASS,0
2011-07-01,air_strike,ASS,0
2011-07-01,agreement,ASS,0
2011-07-01,barrel_bomb,ASS,0
2011-07-01,massacre,ASS,0
2011-07-01,intervention,ASS,0
2011-07-01,shelling,ASS,0
2011-07-01,battle,ASS,0
2011-07-01,chemical,FSA,0
2011-07-01,air_strike,FSA,0
2011-07-01,agreement,FSA,0
2011-07-01,barrel_bomb,FSA,0
2011-07-01,massacre,FSA,0
2011-07-01,intervention,FSA,0
2011-07-01,shelling,FSA,0
2011-07-01,battle,FSA,0
2011-07-01,chemical,IC,0
2011-07-01,air_strike,IC,0
2011-07-01,agreement,IC,0
2011-07-01,barrel_bomb,IC,0
2011-07-01,massacre,IC,0
2011-07-01,intervention,IC,0
2011-07-01,shelling,IC,0
2011-07-01,battle,IC,0
2011-07-01,chemical,YPG,0
2011-07-01,air_strike,YPG,0
2011-07-01,agreement,YPG,0
2011-07-01,barrel_bomb,YPG,0
2011-07-01,massacre,YPG,0
2011-07-01,intervention,YPG,0
2011-07-01,shelling,YPG,0
2011-07-01,battle,YPG,0
2011-08-01,chemical,IS,0
2011-08-01,air_strike,IS,0
2011-08-01,agreement,IS,0
2011-08-01,barrel_bomb,IS,0
2011-08-01,massacre,IS,0
2011-08-01,intervention,IS,0
2011-08-01,shelling,IS,0
2011-08-01,battle,IS,0
2011-08-01,chemical,UN,0
2011-08-01,air_strike,UN,0
2011-08-01,agreement,UN,0
2011-08-01,barrel_bomb,UN,0
2011-08-01,massacre,UN,0
2011-08-01,intervention,UN,0
2011-08-01,shelling,UN,0
2011-08-01,battle,UN,0
2011-08-01,chemical,US,0
2011-08-01,air_strike,US,0
2011-08-01,agreement,US,0
2011-08-01,barrel_bomb,US,0
2011-08-01,massacre,US,0
2011-08-01,intervention,US,0
2011-08-01,shelling,US,0
2011-08-01,battle,US,0
2011-08-01,chemical,RS,0
2011-08-01,air_strike,RS,0
2011-08-01,agreement,RS,0
2011-08-01,barrel_bomb,RS,0
2011-08-01,massacre,RS,0
2011-08-01,intervention,RS,0
2011-08-01,shelling,RS,0
2011-08-01,battle,RS,0
2011-08-01,chemical,HZB,0
2011-08-01,air_strike,HZB,0
2011-08-01,agreement,HZB,0
2011-08-01,barrel_bomb,HZB,0
2011-08-01,massacre,HZB,0
2011-08-01,intervention,HZB,0
2011-08-01,shelling,HZB,0
2011-08-01,battle,HZB,0
2011-08-01,chemical,ANF,0
2011-08-01,air_strike,ANF,0
2011-08-01,agreement,ANF,0
2011-08-01,barrel_bomb,ANF,0
2011-08-01,massacre,ANF,0
2011-08-01,intervention,ANF,0
2011-08-01,shelling,ANF,0
2011-08-01,battle,ANF,0
2011-08-01,chemical,IR,0
2011-08-01,air_strike,IR,0
2011-08-01,agreement,IR,0
2011-08-01,barrel_bomb,IR,0
2011-08-01,massacre,IR,0
2011-08-01,intervention,IR,0
2011-08-01,shelling,IR,0
2011-08-01,battle,IR,0
2011-08-01,chemical,ASS,0
2011-08-01,air_strike,ASS,1
2011-08-01,agreement,ASS,0
2011-08-01,barrel_bomb,ASS,0
2011-08-01,massacre,ASS,0
2011-08-01,intervention,ASS,0
2011-08-01,shelling,ASS,0
2011-08-01,battle,ASS,0
2011-08-01,chemical,FSA,0
2011-08-01,air_strike,FSA,0
2011-08-01,agreement,FSA,0
2011-08-01,barrel_bomb,FSA,0
2011-08-01,massacre,FSA,0
2011-08-01,intervention,FSA,0
2011-08-01,shelling,FSA,0
2011-08-01,battle,FSA,0
2011-08-01,chemical,IC,0
2011-08-01,air_strike,IC,0
2011-08-01,agreement,IC,0
2011-08-01,barrel_bomb,IC,0
2011-08-01,massacre,IC,0
2011-08-01,intervention,IC,0
2011-08-01,shelling,IC,0
2011-08-01,battle,IC,0
2011-08-01,chemical,YPG,0
2011-08-01,air_strike,YPG,0
2011-08-01,agreement,YPG,0
2011-08-01,barrel_bomb,YPG,0
2011-08-01,massacre,YPG,0
2011-08-01,intervention,YPG,0
2011-08-01,shelling,YPG,0
2011-08-01,battle,YPG,0
2011-09-01,chemical,IS,0
2011-09-01,air_strike,IS,0
2011-09-01,agreement,IS,0
2011-09-01,barrel_bomb,IS,0
2011-09-01,massacre,IS,0
2011-09-01,intervention,IS,0
2011-09-01,shelling,IS,0
2011-09-01,battle,IS,0
2011-09-01,chemical,UN,0
2011-09-01,air_strike,UN,0
2011-09-01,agreement,UN,0
2011-09-01,barrel_bomb,UN,0
2011-09-01,massacre,UN,0
2011-09-01,intervention,UN,0
2011-09-01,shelling,UN,0
2011-09-01,battle,UN,0
2011-09-01,chemical,US,0
2011-09-01,air_strike,US,0
2011-09-01,agreement,US,0
2011-09-01,barrel_bomb,US,0
2011-09-01,massacre,US,0
2011-09-01,intervention,US,0
2011-09-01,shelling,US,0
2011-09-01,battle,US,0
2011-09-01,chemical,RS,0
2011-09-01,air_strike,RS,0
2011-09-01,agreement,RS,0
2011-09-01,barrel_bomb,RS,0
2011-09-01,massacre,RS,0
2011-09-01,intervention,RS,0
2011-09-01,shelling,RS,0
2011-09-01,battle,RS,0
2011-09-01,chemical,HZB,0
2011-09-01,air_strike,HZB,0
2011-09-01,agreement,HZB,0
2011-09-01,barrel_bomb,HZB,0
2011-09-01,massacre,HZB,0
2011-09-01,intervention,HZB,0
2011-09-01,shelling,HZB,0
2011-09-01,battle,HZB,0
2011-09-01,chemical,ANF,0
2011-09-01,air_strike,ANF,0
2011-09-01,agreement,ANF,0
2011-09-01,barrel_bomb,ANF,0
2011-09-01,massacre,ANF,0
2011-09-01,intervention,ANF,0
2011-09-01,shelling,ANF,0
2011-09-01,battle,ANF,0
2011-09-01,chemical,IR,0
2011-09-01,air_strike,IR,0
2011-09-01,agreement,IR,0
2011-09-01,barrel_bomb,IR,0
2011-09-01,massacre,IR,0
2011-09-01,intervention,IR,0
2011-09-01,shelling,IR,0
2011-09-01,battle,IR,0
2011-09-01,chemical,ASS,0
2011-09-01,air_strike,ASS,0
2011-09-01,agreement,ASS,0
2011-09-01,barrel_bomb,ASS,0
2011-09-01,massacre,ASS,0
2011-09-01,intervention,ASS,0
2011-09-01,shelling,ASS,1
2011-09-01,battle,ASS,0
2011-09-01,chemical,FSA,0
2011-09-01,air_strike,FSA,0
2011-09-01,agreement,FSA,0
2011-09-01,barrel_bomb,FSA,0
2011-09-01,massacre,FSA,0
2011-09-01,intervention,FSA,0
2011-09-01,shelling,FSA,0
2011-09-01,battle,FSA,0
2011-09-01,chemical,IC,0
2011-09-01,air_strike,IC,0
2011-09-01,agreement,IC,0
2011-09-01,barrel_bomb,IC,0
2011-09-01,massacre,IC,0
2011-09-01,intervention,IC,0
2011-09-01,shelling,IC,0
2011-09-01,battle,IC,0
2011-09-01,chemical,YPG,0
2011-09-01,air_strike,YPG,0
2011-09-01,agreement,YPG,0
2011-09-01,barrel_bomb,YPG,0
2011-09-01,massacre,YPG,0
2011-09-01,intervention,YPG,0
2011-09-01,shelling,YPG,0
2011-09-01,battle,YPG,0
2011-10-01,chemical,IS,0
2011-10-01,air_strike,IS,0
2011-10-01,agreement,IS,0
2011-10-01,barrel_bomb,IS,0
2011-10-01,massacre,IS,0
2011-10-01,intervention,IS,0
2011-10-01,shelling,IS,0
2011-10-01,battle,IS,0
2011-10-01,chemical,UN,0
2011-10-01,air_strike,UN,0
2011-10-01,agreement,UN,0
2011-10-01,barrel_bomb,UN,0
2011-10-01,massacre,UN,0
2011-10-01,intervention,UN,0
2011-10-01,shelling,UN,0
2011-10-01,battle,UN,0
2011-10-01,chemical,US,0
2011-10-01,air_strike,US,0
2011-10-01,agreement,US,0
2011-10-01,barrel_bomb,US,0
2011-10-01,massacre,US,0
2011-10-01,intervention,US,0
2011-10-01,shelling,US,0
2011-10-01,battle,US,0
2011-10-01,chemical,RS,0
2011-10-01,air_strike,RS,0
2011-10-01,agreement,RS,0
2011-10-01,barrel_bomb,RS,0
2011-10-01,massacre,RS,0
2011-10-01,intervention,RS,0
2011-10-01,shelling,RS,0
2011-10-01,battle,RS,0
2011-10-01,chemical,HZB,0
2011-10-01,air_strike,HZB,0
2011-10-01,agreement,HZB,0
2011-10-01,barrel_bomb,HZB,0
2011-10-01,massacre,HZB,0
2011-10-01,intervention,HZB,0
2011-10-01,shelling,HZB,0
2011-10-01,battle,HZB,0
2011-10-01,chemical,ANF,0
2011-10-01,air_strike,ANF,0
2011-10-01,agreement,ANF,0
2011-10-01,barrel_bomb,ANF,0
2011-10-01,massacre,ANF,0
2011-10-01,intervention,ANF,0
2011-10-01,shelling,ANF,0
2011-10-01,battle,ANF,0
2011-10-01,chemical,IR,0
2011-10-01,air_strike,IR,0
2011-10-01,agreement,IR,0
2011-10-01,barrel_bomb,IR,0
2011-10-01,massacre,IR,0
2011-10-01,intervention,IR,0
2011-10-01,shelling,IR,0
2011-10-01,battle,IR,0
2011-10-01,chemical,ASS,0
2011-10-01,air_strike,ASS,0
2011-10-01,agreement,ASS,0
2011-10-01,barrel_bomb,ASS,1
2011-10-01,massacre,ASS,0
2011-10-01,intervention,ASS,0
2011-10-01,shelling,ASS,0
2011-10-01,battle,ASS,0
2011-10-01,chemical,FSA,0
2011-10-01,air_strike,FSA,0
2011-10-01,agreement,FSA,0
2011-10-01,barrel_bomb,FSA,0
2011-10-01,massacre,FSA,0
2011-10-01,intervention,FSA,0
2011-10-01,shelling,FSA,0
2011-10-01,battle,FSA,0
2011-10-01,chemical,IC,0
2011-10-01,air_strike,IC,0
2011-10-01,agreement,IC,0
2011-10-01,barrel_bomb,IC,0
2011-10-01,massacre,IC,0
2011-10-01,intervention,IC,0
2011-10-01,shelling,IC,0
2011-10-01,battle,IC,0
2011-10-01,chemical,YPG,0
2011-10-01,air_strike,YPG,0
2011-10-01,agreement,YPG,0
2011-10-01,barrel_bomb,YPG,0
2011-10-01,massacre,YPG,0
2011-10-01,intervention,YPG,0
2011-10-01,shelling,YPG,0
2011-10-01,battle,YPG,0
2011-11-01,chemical,IS,0
2011-11-01,air_strike,IS,0
2011-11-01,agreement,IS,0
2011-11-01,barrel_bomb,IS,0
2011-11-01,massacre,IS,0
2011-11-01,intervention,IS,0
2011-11-01,shelling,IS,0
2011-11-01,battle,IS,0
2011-11-01,chemical,UN,0
2011-11-01,air_strike,UN,0
2011-11-01,agreement,UN,0
2011-11-01,barrel_bomb,UN,0
2011-11-01,massacre,UN,0
2011-11-01,intervention,UN,0
2011-11-01,shelling,UN,0
2011-11-01,battle,UN,0
2011-11-01,chemical,US,0
2011-11-01,air_strike,US,0
2011-11-01,agreement,US,0
2011-11-01,barrel_bomb,US,0
2011-11-01,massacre,US,0
2011-11-01,intervention,US,0
2011-11-01,shelling,US,0
2011-11-01,battle,US,0
2011-11-01,chemical,RS,0
2011-11-01,air_strike,RS,0
2011-11-01,agreement,RS,0
2011-11-01,barrel_bomb,RS,0
2011-11-01,massacre,RS,0
2011-11-01,intervention,RS,0
2011-11-01,shelling,RS,0
2011-11-01,battle,RS,0
2011-11-01,chemical,HZB,0
2011-11-01,air_strike,HZB,0
2011-11-01,agreement,HZB,0
2011-11-01,barrel_bomb,HZB,0
2011-11-01,massacre,HZB,0
2011-11-01,intervention,HZB,0
2011-11-01,shelling,HZB,0
2011-11-01,battle,HZB,0
2011-11-01,chemical,ANF,0
2011-11-01,air_strike,ANF,0
2011-11-01,agreement,ANF,0
2011-11-01,barrel_bomb,ANF,0
2011-11-01,massacre,ANF,0
2011-11-01,intervention,ANF,0
2011-11-01,shelling,ANF,0
2011-11-01,battle,ANF,0
